%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
1232756500.000000000	0.305100178	0.001625301	-132.108614837	0.314458088	0.909216905	0.002134863	-39.883149016	0.155459831	0.909275654	0.002134995	-39.887915128	0.155459431	0.307026806	0.001639249	-134.505352403	0.315342968
1246922666.666670000	0.336440050	0.001615047	-136.725779928	0.286581534	0.898623134	0.002147720	-44.569179602	0.157957737	0.898659419	0.002147800	-44.574917463	0.157957220	0.338074456	0.001622356	-138.332081888	0.286523492
1261088833.333330000	0.364678250	0.001568107	-141.220324383	0.259082549	0.888095791	0.002135594	-49.155159446	0.158843616	0.888143033	0.002135706	-49.159312075	0.158843768	0.366061043	0.001570395	-142.171041479	0.258547809
1275255000.000000000	0.389785417	0.001507580	-145.610738902	0.235184250	0.877815294	0.002135812	-53.644761443	0.160545766	0.877852759	0.002135904	-53.649462357	0.160545572	0.390990133	0.001517304	-146.009918651	0.236074028
1289421166.666670000	0.412039353	0.001529560	-149.947974078	0.228335191	0.867956327	0.002178139	-58.028325577	0.165131877	0.867974305	0.002178159	-58.032910234	0.165130822	0.413080880	0.001528837	-149.872944976	0.227793957
1303587333.333330000	0.431485074	0.001563739	-154.216145029	0.225265594	0.858937448	0.002183319	-62.315373909	0.167097583	0.858971375	0.002183361	-62.319462916	0.167094444	0.432408687	0.001553662	-153.715485579	0.223403158
1317753500.000000000	0.448110958	0.001461291	-158.379065553	0.203877498	0.850694200	0.002143692	-66.528044275	0.165880202	0.850744507	0.002143793	-66.533310023	0.165878833	0.448999599	0.001456692	-157.483759990	0.203156952
1331919666.666670000	0.462223319	0.001321516	-162.472617448	0.181526750	0.843171918	0.002132723	-70.677352361	0.166668398	0.843226691	0.002132846	-70.681794408	0.166667403	0.463081159	0.001386917	-161.216485396	0.190054997
1346085833.333330000	0.473939970	0.001394707	-166.530762490	0.187539354	0.836725296	0.002167042	-74.756147276	0.170374716	0.836769757	0.002167133	-74.761041805	0.170373272	0.474716818	0.001388983	-164.940956793	0.186841571
1360252000.000000000	0.483251842	0.001464436	-170.514187068	0.194386963	0.831619137	0.002149226	-78.781820776	0.170291881	0.831671143	0.002149330	-78.788383747	0.170290351	0.483973455	0.001452877	-168.610751443	0.192767267
1374418166.666670000	0.490131991	0.001461436	-174.422351718	0.192227270	0.827647886	0.002113563	-82.772591555	0.168716150	0.827712950	0.002113705	-82.779073441	0.168714475	0.490913977	0.001310960	-172.210909132	0.173631165
1388584333.333330000	0.494357061	0.001321336	-178.310781619	0.174354554	0.824829471	0.002144084	-86.720388463	0.171650655	0.824887833	0.002144198	-86.728044623	0.171648701	0.495165269	0.001332312	-175.788845176	0.175403373
1402750500.000000000	0.495976796	0.001419690	177.790840499	0.185886051	0.823468928	0.002188516	-90.660369123	0.175433365	0.823500000	0.002188555	-90.668207421	0.175430266	0.496728697	0.001402908	-179.375680408	0.183954022
1416916666.666670000	0.495417903	0.001469071	173.885952530	0.193571863	0.823463170	0.002239732	-94.614353686	0.177998101	0.823484002	0.002224287	-94.621112826	0.177614748	0.496103000	0.001446802	177.031405048	0.188977623
1431082833.333330000	0.492670607	0.001426515	169.967997585	0.187753594	0.824653752	0.002125547	-98.571488089	0.171432735	0.824680288	0.002125604	-98.579274201	0.171431757	0.493419239	0.001416773	173.427367201	0.186903066
1445249000.000000000	0.487531410	0.001319562	166.038628452	0.176833645	0.827061542	0.002143166	-102.542021470	0.172688168	0.827086313	0.002143213	-102.547847126	0.172687193	0.488370474	0.001335471	169.829154732	0.178643903
1459415166.666670000	0.480102916	0.001362359	162.080258237	0.184510951	0.830438451	0.002160413	-106.549310858	0.173800860	0.830454973	0.002160437	-106.555121742	0.173799574	0.481014654	0.001368463	166.227500202	0.185098178
1473581333.333330000	0.470408189	0.001457078	158.080374705	0.199540850	0.834843704	0.002128959	-110.596538273	0.171255022	0.834850177	0.002128955	-110.602953988	0.171253916	0.471402071	0.001449559	162.602188588	0.198226113
1487747500.000000000	0.458134060	0.001448699	154.044102168	0.203029793	0.840477729	0.002116044	-114.702457750	0.169936475	0.840506053	0.002116095	-114.708214151	0.169935199	0.459317377	0.001457404	158.967816715	0.203506291
1501913666.666670000	0.443062365	0.001422017	149.975493719	0.204474666	0.847153573	0.002151134	-118.870684797	0.171708901	0.847162288	0.002151128	-118.878449241	0.171707464	0.444477614	0.001448878	155.354999281	0.207417296
1516079833.333330000	0.425175558	0.001474650	145.817814638	0.219122891	0.854658639	0.002175944	-123.119773992	0.172748497	0.854644217	0.002175899	-123.124731210	0.172747485	0.426864805	0.001516996	151.720889073	0.224168243
1530246000.000000000	0.404490137	0.001550804	141.557766954	0.239711416	0.862948060	0.002140350	-127.441672561	0.169562893	0.862957678	0.002140366	-127.448247169	0.169562645	0.406425317	0.001563311	148.057096127	0.240158338
1544412166.666670000	0.381173301	0.001537995	137.211678647	0.249367292	0.871798382	0.002112754	-131.872862031	0.167027032	0.871816792	0.002112783	-131.878579443	0.167026089	0.383401868	0.001565566	144.386045998	0.252098412
1558578333.333330000	0.355315673	0.001519224	132.800115267	0.261071875	0.880889711	0.002134683	-136.395694106	0.167668974	0.880907013	0.002134710	-136.400543903	0.167668281	0.357960823	0.001560963	140.766412698	0.266056326
1572744500.000000000	0.326759017	0.001582761	128.297301649	0.292681534	0.890023333	0.002137584	-141.011700029	0.167157449	0.890058340	0.002137676	-141.015754232	0.167157951	0.329947602	0.001615028	137.220480347	0.295561371
1586910666.666670000	0.295380060	0.001640285	123.727003007	0.332719701	0.899083022	0.002095764	-145.717086713	0.163912294	0.899128647	0.002095874	-145.723590111	0.163912652	0.299238673	0.001671116	133.839745081	0.334327260
1601076833.333330000	0.261325836	0.001667914	119.112869480	0.378048399	0.907685968	0.002098464	-150.535997255	0.163535093	0.907743715	0.002098589	-150.541422493	0.163534428	0.266073856	0.001713197	130.738670797	0.380844440
1615243000.000000000	0.224694086	0.001681533	114.482163434	0.439112566	0.915583347	0.002113720	-155.443744382	0.164052489	0.915636563	0.002113835	-155.449512286	0.164052147	0.230688164	0.001734997	128.142799386	0.441824627
1629409166.666670000	0.185514880	0.001732665	109.844810298	0.544843764	0.922554447	0.002107959	-160.439941039	0.163431951	0.922622879	0.002108118	-160.443689504	0.163432834	0.193331198	0.001779698	126.426869239	0.536892334
1643575333.333330000	0.144263020	0.001742662	105.299695527	0.699659729	0.928332536	0.002078594	-165.505708419	0.161570244	0.928406381	0.002078765	-165.514510259	0.161570626	0.154772570	0.001799697	126.339091971	0.674359723
1657741500.000000000	0.101718466	0.001753643	101.084683746	0.992471698	0.932577122	0.002070664	-170.645635036	0.161161003	0.932641908	0.002070823	-170.650003974	0.161161517	0.116691918	0.001819210	129.491366050	0.897386435
1671907666.666670000	0.058414346	0.001753116	98.152411421	1.722027651	0.935123994	0.002070416	-175.820350574	0.161370493	0.935203766	0.002070595	-175.822665085	0.161370601	0.082427269	0.001810629	140.057000652	1.262058685
1686073833.333330000	0.015113651	0.001770225	108.223993773	6.703043445	0.935900485	0.002068884	178.986403718	0.161677360	0.935976547	0.002069051	178.977710571	0.161677290	0.060911225	0.001817082	166.335427911	1.712453561
1700240000.000000000	0.030546999	0.001752683	-107.296662167	3.289500990	0.934844169	0.002065163	173.788042714	0.162033167	0.934921918	0.002065336	173.784578809	0.162033271	0.066921581	0.001811526	-158.623598677	1.554472405
