%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
1346085833.333330000	0.554249030	0.002328919	161.258338878	0.259509572	0.814497578	0.002081306	-110.460004873	0.169154952	0.814402210	0.002081041	-110.456845017	0.169153629	0.552619835	0.002130058	157.715574429	0.250419465
1360252000.000000000	0.538857306	0.002336065	157.133150711	0.267717734	0.823950991	0.002050177	-114.786047243	0.165748314	0.823843237	0.002049873	-114.781891636	0.165746673	0.537031037	0.002139387	153.444192989	0.258201111
1374418166.666670000	0.520364188	0.002312306	152.851898635	0.273535809	0.835367842	0.002048605	-119.206823481	0.164227756	0.835257759	0.002048312	-119.200507205	0.164225956	0.518250386	0.002019610	148.944062368	0.252113108
1388584333.333330000	0.498800438	0.002231473	148.540029197	0.274582169	0.848010943	0.002072985	-123.764903425	0.164399174	0.847914982	0.002101821	-123.758274177	0.166057108	0.496573526	0.002040788	144.340252151	0.263782493
1402750500.000000000	0.472941457	0.002269791	144.233378690	0.293506039	0.861703237	0.002137554	-128.478194824	0.167121996	0.861597828	0.002137252	-128.469930748	0.167119420	0.470879688	0.002096934	139.677149228	0.283819477
1416916666.666670000	0.441924712	0.002253751	139.836031755	0.310772106	0.876738741	0.002091045	-133.357008148	0.162242606	0.876662160	0.002090825	-133.347494802	0.162240859	0.439944271	0.002071900	134.823071518	0.297698903
1431082833.333330000	0.406548894	0.002153196	135.291367288	0.319599070	0.892569492	0.002083859	-138.420726419	0.160151450	0.892518394	0.002083732	-138.412073810	0.160150961	0.404271670	0.002018026	129.674506800	0.311804937
1445249000.000000000	0.367276715	0.002070337	130.711597547	0.337654702	0.908427678	0.002115222	-143.657387894	0.160486066	0.908399852	0.002115156	-143.647431128	0.160485933	0.364731464	0.001969503	124.259505905	0.333236971
1459415166.666670000	0.323397811	0.002079639	126.276839585	0.382344957	0.923855210	0.002112921	-149.080070889	0.158923613	0.923823954	0.002112840	-149.071909547	0.158923133	0.320809079	0.001994150	118.644502666	0.378045044
1473581333.333330000	0.274695687	0.002052729	122.116938379	0.441697784	0.938258089	0.002081274	-154.696200630	0.155820990	0.938254179	0.002081257	-154.688822538	0.155820550	0.271916307	0.001992388	112.822884576	0.439839361
1487747500.000000000	0.221963431	0.002009559	118.425670336	0.528683075	0.950867732	0.002096459	-160.486416410	0.155779372	0.950875448	0.002096473	-160.479935151	0.155779262	0.218620279	0.001978969	106.639728510	0.533991095
1501913666.666670000	0.166258259	0.001955004	116.035998033	0.681697738	0.961068974	0.002103904	-166.412274728	0.155601634	0.961075209	0.002103914	-166.408922503	0.155601434	0.161865838	0.001953009	99.846243882	0.703517001
1516079833.333330000	0.109132929	0.001960381	117.632577054	1.033853922	0.968288574	0.002097761	-172.465200615	0.154961565	0.968298516	0.002097778	-172.459749365	0.154961433	0.102402612	0.001961785	91.860034456	1.105755981
1530246000.000000000	0.056361042	0.001936744	135.384238508	1.973393278	0.971983137	0.002080423	-178.588965673	0.154066335	0.971988114	0.002080435	-178.586545176	0.154066377	0.041381599	0.001948540	78.187470520	2.701897654
1544412166.666670000	0.046076325	0.001958876	-155.797948480	2.443701644	0.971884655	0.002084856	175.253479585	0.154762440	0.971887942	0.002084872	175.257338847	0.154762856	0.024051054	0.001958944	-72.956011345	4.662980663
1558578333.333330000	0.094348494	0.001960284	-126.758662213	1.195598032	0.967966747	0.002078644	169.115065465	0.155230057	0.967982119	0.002078677	169.120265793	0.155229983	0.085197286	0.001948595	-95.000635022	1.318384913
1572744500.000000000	0.151803726	0.001975296	-123.011781669	0.752951687	0.960427004	0.002097107	163.039725260	0.157534690	0.960435628	0.002086538	163.045428911	0.156161615	0.145771622	0.001944870	-103.568726642	0.775646175
1586910666.666670000	0.208586519	0.002004946	-124.696701428	0.561630148	0.949721055	0.002101863	157.082430579	0.159231030	0.949723773	0.002101871	157.085422013	0.159231003	0.203711379	0.001946616	-110.570418818	0.564242452
1601076833.333330000	0.262718520	0.002069903	-128.113057589	0.464996985	0.936430061	0.002087589	151.249944122	0.160212149	0.936419834	0.002087576	151.255289378	0.160212891	0.258542585	0.001973332	-116.930023057	0.458900721
1615243000.000000000	0.313244052	0.002094566	-132.238244782	0.399799719	0.921177097	0.002055309	145.589611779	0.160427539	0.921170120	0.002055286	145.593585932	0.160426900	0.309594424	0.001969183	-122.838458752	0.390763878
1629409166.666670000	0.359259361	0.002131664	-136.687936068	0.358309439	0.904788560	0.002103529	140.114014219	0.165548263	0.904770065	0.002103487	140.120483673	0.165548687	0.355872132	0.001976315	-128.430033249	0.348145884
1643575333.333330000	0.400701509	0.002192816	-141.233903494	0.334787761	0.887887189	0.002116712	134.840931377	0.168935712	0.887876487	0.002116751	134.842763086	0.168938811	0.397303361	0.002029458	-133.799701570	0.326538540
1657741500.000000000	0.437893665	0.002238961	-145.769155029	0.316019197	0.870855716	0.002083215	129.740683958	0.169397934	0.870838810	0.002083215	129.744618613	0.169400343	0.434562022	0.002063338	-138.965827797	0.308996324
1671907666.666670000	0.470790222	0.002228509	-150.224457603	0.295274095	0.854272822	0.002062697	124.832507738	0.170777206	0.854299442	0.002062779	124.834871540	0.170778198	0.467645725	0.002042582	-143.871780930	0.289591371
1686073833.333330000	0.499083770	0.002232152	-154.585363291	0.281773166	0.838918680	0.002086652	120.098451876	0.174915043	0.838955617	0.002086765	120.099388999	0.174915697	0.495974809	0.002039549	-148.557007069	0.277484263
1700240000.000000000	0.523258909	0.002275286	-158.851931264	0.276083312	0.824816732	0.002069824	115.529624453	0.176281262	0.824831138	0.002069900	115.527663480	0.176284624	0.519963624	0.002083312	-153.113802346	0.273397121
