%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
1416916666.666670000	0.322875432	0.002056513	142.076879912	0.379650906	0.779755076	0.002249020	-144.642728831	0.182576335	0.779348648	0.002247920	-144.603380856	0.182581268	0.310522065	0.001979737	135.506922154	0.378341943
1431082833.333330000	0.285849358	0.001935705	140.475781525	0.399516205	0.787476801	0.002238635	-150.089095849	0.180788776	0.787119553	0.002237740	-150.048717512	0.180796662	0.270394243	0.001894185	132.685719642	0.412465173
1445249000.000000000	0.248755483	0.001829142	140.253730833	0.431638772	0.793798133	0.002246922	-155.658302629	0.180722361	0.793489868	0.002246035	-155.617135828	0.180721322	0.229657901	0.001799836	130.995326466	0.458839539
1459415166.666670000	0.211387306	0.001800956	142.277682873	0.497461229	0.798756595	0.002242001	-161.329699301	0.179946005	0.798469086	0.002241152	-161.291051459	0.179943252	0.187588010	0.001767999	131.374206440	0.548628392
1473581333.333330000	0.175692130	0.001766395	147.648178474	0.586039692	0.802216905	0.002222450	-167.086486905	0.178341853	0.801922725	0.002221717	-167.049197705	0.178347071	0.145060136	0.001722270	135.471881995	0.688851602
1487747500.000000000	0.147502836	0.001735201	157.838873518	0.682499105	0.803634573	0.002219202	-172.901775244	0.178362761	0.803361718	0.002218570	-172.864925506	0.178370419	0.108032754	0.001688644	146.928286531	0.901891120
1501913666.666670000	0.134105979	0.001695304	173.175776622	0.731150696	0.802773092	0.002212185	-178.737980265	0.178495219	0.802507193	0.002211485	-178.703558462	0.178497276	0.087585234	0.001653782	170.275168585	1.086480946
1516079833.333330000	0.140160080	0.001706370	-170.187148380	0.705876006	0.799793607	0.002217118	175.417510525	0.179888396	0.799519923	0.002216363	175.453403175	0.179888631	0.095671669	0.001657617	-162.085716839	0.998703621
1530246000.000000000	0.163084139	0.001734523	-157.788278908	0.619225650	0.794831525	0.002210512	169.626089359	0.180759180	0.794554498	0.002209813	169.659347733	0.180763739	0.126775578	0.001686658	-145.688664337	0.770475448
1544412166.666670000	0.195527581	0.001794535	-150.861528110	0.539013191	0.787907294	0.002197996	163.886373735	0.181522972	0.787619797	0.002197320	163.922340984	0.181531125	0.166833266	0.001741407	-139.165492615	0.609472918
1558578333.333330000	0.232239215	0.001815944	-147.720281838	0.461477806	0.779163371	0.002185133	158.241019268	0.182629693	0.778875099	0.002184395	158.274877102	0.182634145	0.209195756	0.001774626	-137.380630985	0.498488665
1572744500.000000000	0.270173594	0.001851992	-147.012308642	0.407772246	0.769196447	0.002194131	152.708178206	0.185668947	0.768918161	0.002193340	152.743402736	0.185669132	0.251085894	0.001816310	-138.088354906	0.428670004
1586910666.666670000	0.306908777	0.001918549	-147.884445784	0.375532870	0.758532215	0.002185590	147.311043718	0.187525559	0.758251447	0.002184811	147.345547936	0.187527370	0.290636911	0.001887083	-140.259382976	0.388674637
1601076833.333330000	0.341895134	0.001997414	-149.648627970	0.354111037	0.747111261	0.002156612	142.026951325	0.187945243	0.746827338	0.002155853	142.060846057	0.187949459	0.327991163	0.001967588	-143.087925631	0.362400923
1615243000.000000000	0.375035929	0.002021183	-151.896563220	0.330092681	0.735183322	0.002169309	136.892412887	0.191819331	0.734903863	0.002153589	136.926753437	0.190068782	0.363207077	0.002011304	-146.135205527	0.338182180
1629409166.666670000	0.404646525	0.002097819	-154.521408638	0.319356204	0.723826970	0.002165395	131.910573739	0.194416950	0.723558485	0.002164387	131.947069323	0.194402571	0.394240364	0.002083016	-149.389368834	0.324933576
1643575333.333330000	0.430209157	0.002186171	-157.416737562	0.315346840	0.713323563	0.002158663	127.054178196	0.196692756	0.713039325	0.002157652	127.085516429	0.196682640	0.420738475	0.002175253	-152.853539157	0.320307485
1657741500.000000000	0.453288591	0.002238210	-160.484886254	0.308394641	0.703059734	0.002126524	122.297711325	0.196708355	0.702748235	0.002125543	122.333234802	0.196705496	0.444858920	0.002220745	-156.419686957	0.311274908
1671907666.666670000	0.473935870	0.002240372	-163.602629032	0.296859359	0.693402175	0.002113219	117.681199329	0.198288667	0.693114918	0.002112277	117.718343000	0.198283975	0.466562927	0.002224503	-159.926517938	0.299009359
1686073833.333330000	0.490742736	0.002255944	-166.711132472	0.290510959	0.685278038	0.002123121	113.162646462	0.201556715	0.685020737	0.002122186	113.197209087	0.201546273	0.483866997	0.002247047	-163.393916329	0.293067587
1700240000.000000000	0.504472339	0.002307342	-169.855697804	0.290239904	0.678325938	0.002104560	108.710618867	0.202035688	0.678029591	0.002103538	108.743711443	0.202028386	0.497680325	0.002297599	-166.956358349	0.292573839
